Stock_Date,Stock_Index_Change,Stock_Percent_Change,Stock_Open,Stock_Highest,Stock_Lowest,Stock_Closed,Stock_AVG,Stock_Adjusted_Closed,Stock_Volume,Stock_Company_Code
18/11/2022,0.1,0.48%,20.8,21.45,20.6,21.15,20.96,21.15,3691700,ACB
17/11/2022,0.65,3.19%,20.8,21.35,20.8,21.05,21.03,21.05,8443875,ACB
16/11/2022,1.3,6.81%,18.9,20.4,17.9,20.4,19.07,20.4,8600600,ACB
15/11/2022,-1.2,-5.91%,20.25,20.45,19.1,19.1,19.78,19.1,6563300,ACB
14/11/2022,-0.5,-2.40%,20.5,20.7,19.95,20.3,20.31,20.3,5287100,ACB
11/11/2022,0.8,4.00%,20.7,21.2,20.45,20.8,20.89,20.8,8725500,ACB
10/11/2022,-0.75,-3.61%,20.65,20.9,19.5,20,20.22,20,5464700,ACB
09/11/2022,-0.55,-2.58%,21.4,21.7,20.7,20.75,21.29,20.75,3755800,ACB
08/11/2022,0.65,3.15%,20.6,21.75,20.15,21.3,21.14,21.3,4366100,ACB
07/11/2022,0.5,2.48%,20.9,21,20.2,20.65,20.61,20.65,4996600,ACB
04/11/2022,-1.2,-5.62%,21.35,21.4,19.95,20.15,20.35,20.15,12923400,ACB
03/11/2022,-0.45,-2.06%,21.5,22,21.35,21.35,21.6,21.35,3367300,ACB
02/11/2022,-0.65,-2.90%,22.4,22.45,21.8,21.8,22.01,21.8,4015200,ACB
01/11/2022,0.05,0.22%,22.5,23,22.35,22.45,22.7,22.45,3355400,ACB
31/10/2022,0.1,0.45%,22.35,22.5,21.65,22.4,22.15,22.4,3827300,ACB
28/10/2022,0.25,1.13%,22.4,22.55,22.05,22.3,22.3,22.3,3811700,ACB
27/10/2022,1.4,6.78%,20.7,22.05,20.5,22.05,21.55,22.05,4846000,ACB
26/10/2022,0.25,1.23%,20.6,20.9,20.2,20.65,20.57,20.65,2716100,ACB
25/10/2022,0.9,4.62%,19.7,20.85,19.15,20.4,20.08,20.4,5576800,ACB
24/10/2022,-0.9,-4.41%,20.45,20.5,19.2,19.5,19.99,19.5,8797800,ACB
21/10/2022,-0.95,-4.45%,21.35,21.35,20.25,20.4,20.68,20.4,9520500,ACB
20/10/2022,0.25,1.18%,21.1,21.5,20.7,21.35,21.16,21.35,4643093,ACB
19/10/2022,-0.3,-1.40%,21.6,21.6,21,21.1,21.26,21.1,1445700,ACB
18/10/2022,0.45,2.15%,21.3,21.5,21.1,21.4,21.32,21.4,2790775,ACB
17/10/2022,0.1,0.48%,20.3,21,20.25,20.95,20.5,20.95,3756600,ACB
14/10/2022,0.9,4.51%,20.5,20.9,20.2,20.85,20.73,20.85,3138200,ACB
13/10/2022,1.25,6.68%,18.7,19.95,18.5,19.95,19.29,19.95,4370800,ACB
12/10/2022,1.2,6.86%,17.9,18.7,17.8,18.7,18.5,18.7,3629276,ACB
11/10/2022,-1.2,-6.42%,18.7,18.7,17.45,17.5,18.03,17.5,7103000,ACB
10/10/2022,0.05,0.27%,18.2,19.1,18.2,18.7,18.71,18.7,6473000,ACB
