open,high,low,close,volume,tradingDate,month,year,quarter_y,ticker,fixedAsset_x,asset_x,debt_x,equity_x,capital_x,customerLoan_x,badLoan_x,provision_x,netCustomerLoan_x,otherAsset_x,otherBankCredit_x,oweOtherBank_x,valuablePaper_x,payableInterest_x,receivableInterest_x,deposit_x,otherDebt_x,fund_x,unDistributedIncome_x,payable_x,cash_y,fixedAsset_y,asset_y,debt_y,equity_y,capital_y,centralBankDeposit,otherBankDeposit,otherBankLoan,stockInvest,customerLoan_y,badLoan_y,provision_y,netCustomerLoan_y,otherAsset_y,otherBankCredit_y,oweOtherBank_y,oweCentralBank_y,valuablePaper_y,payableInterest_y,receivableInterest_y,deposit_y,otherDebt_y,fund_y,unDistributedIncome_y,payable_y,revenue_x,yearRevenueGrowth_x,operationExpense_x,operationProfit_x,yearOperationProfitGrowth_x,preTaxProfit_x,postTaxProfit_x,shareHolderIncome_x,yearShareHolderIncomeGrowth_x,investProfit_x,serviceProfit_x,otherProfit_x,provisionExpense_x,operationIncome_x,revenue_y,yearRevenueGrowth_y,operationExpense_y,operationProfit_y,yearOperationProfitGrowth_y,preTaxProfit_y,postTaxProfit_y,shareHolderIncome_y,yearShareHolderIncomeGrowth_y,investProfit_y,serviceProfit_y,otherProfit_y,provisionExpense_y,operationIncome_y,investCost_x,fromInvest_x,fromFinancial_x,fromSale_x,investCost_y,fromInvest_y,fromFinancial_y,fromSale_y,priceToEarning_x,priceToBook_x,roe_x,earningPerShare_x,bookValuePerShare_x,interestMargin_x,nonInterestOnToi_x,badDebtPercentage_x,provisionOnBadDebt_x,costOfFinancing_x,equityOnTotalAsset_x,equityOnLoan_x,costToIncome_x,epsChange_x,assetOnEquity_x,preProvisionOnToi_x,postTaxOnToi_x,loanOnEarnAsset_x,loanOnDeposit_x,depositOnEarnAsset_x,liquidityOnLiability_x,payableOnEquity_x,bookValuePerShareChange_x,creditGrowth_x,priceToEarning_y,priceToBook_y,roe_y,roa_y,earningPerShare_y,bookValuePerShare_y,interestMargin_y,nonInterestOnToi_y,badDebtPercentage_y,provisionOnBadDebt_y,costOfFinancing_y,equityOnTotalAsset_y,equityOnLoan_y,costToIncome_y,epsChange_y,assetOnEquity_y,preProvisionOnToi_y,postTaxOnToi_y,loanOnEarnAsset_y,loanOnAsset_y,loanOnDeposit_y,depositOnEarnAsset_y,badDebtOnAsset_y,liquidityOnLiability_y,payableOnEquity_y,cancelDebt_y,bookValuePerShareChange_y,creditGrowth_y,capital_x_9377,capital_x_10273,capital_x_12886,capital_x_16627,capital_x_21616,capital_x_27019,oweCentralBank_x_0,oweCentralBank_x_3074,oweCentralBank_x_5179,roa_x_0.005,roa_x_0.006,roa_x_0.008,roa_x_0.017,roa_x_0.019,roa_x_0.02,loanOnAsset_x_0.672,loanOnAsset_x_0.686,loanOnAsset_x_0.698,loanOnAsset_x_0.699,loanOnAsset_x_0.7,loanOnAsset_x_0.701,cancelDebt_x_0.001,cancelDebt_x_0.002,cancelDebt_x_0.006,cancelDebt_x_0.007,cancelDebt_x_0.014,badDebtOnAsset_x_0.004,badDebtOnAsset_x_0.005,badDebtOnAsset_x_0.006,badDebtOnAsset_x_0.009
4015.0,3993.0,3941.0,3989.0,55888,2015-01-05T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3963.0,4056.0,3951.0,4042.0,89802,2015-01-06T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4042.0,4153.0,4023.0,4094.0,232861,2015-01-07T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4094.0,4146.0,4093.0,4120.0,14880,2015-01-08T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4120.0,4228.0,4046.0,4146.0,693623,2015-01-09T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4172.0,4278.0,4148.0,4198.0,368334,2015-01-12T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4198.0,4378.0,4220.0,4302.0,416006,2015-01-13T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4302.0,4297.0,4193.0,4224.0,300420,2015-01-14T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4198.0,4197.0,4119.0,4146.0,244964,2015-01-15T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4172.0,4187.0,4083.0,4146.0,374204,2015-01-16T00:00:00.000Z,1,2015,1,ACB,2480,201457,188669,12788,9377,135348,1771,-1541,133807,8536,2098,336.0,3075,1742.0,2798.0,174919,3075,2374,1702,188669,2599.0,2560.0,187311.0,174631.0,12680.0,9377.0,5317.0,4271.0,500.0,45553.0,119201.0,2502.0,-1676.0,117525.0,9770.0,8857.0,2014.0,200.0,3078.0,1950.0,2666.0,156734.0,3078.0,2208.0,1759.0,174631.0,5884.0,0.235,-4022.0,6220.0,0.051,1314.0,1028.0,1028.0,0.08,-651.0,745.0,242.0,-884.0,2199.0,1390.0,0.317,-1003.0,1610.0,0.118,359.0,281.0,281.0,0.123,33.0,168.0,19.0,-247.0,607.0,-261.0,131.0,-628.0,3046.0,-49.0,211.0,-1.0,2939.0,17.7,1.4,0.082,380.0,4732.0,0.033,0.054,0.013,0.87,0.047,0.063,0.094,0.647,0.08,15.8,0.277,0.165,0.715,0.774,0.924,0.3,14.8,0.031,0.164,15.0,1.2,0.077,0.005,363.0,4692.0,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
