Stock_Date,Stock_Index_Change,Stock_Percent_Change,Stock_Open,Stock_Highest,Stock_Lowest,Stock_Closed,Stock_AVG,Stock_Adjusted_Closed,Stock_Volume,Stock_Company_Code
18/11/2022,+0.10,+0.48,20.80,21.45,20.60,21.15,20.96,21.15,3691700,ACB
17/11/2022,+0.65,+3.19,20.80,21.35,20.80,21.05,21.03,21.05,8443875,ACB
16/11/2022,+1.30,+6.81,18.90,20.40,17.90,20.40,19.07,20.40,8600600,ACB
15/11/2022,-1.20,-5.91,20.25,20.45,19.10,19.10,19.78,19.10,6563300,ACB
14/11/2022,-0.50,-2.40,20.50,20.70,19.95,20.30,20.31,20.30,5287100,ACB
11/11/2022,+0.80,+4.00,20.70,21.20,20.45,20.80,20.89,20.80,8725500,ACB
10/11/2022,-0.75,-3.61,20.65,20.90,19.50,20.00,20.22,20.00,5464700,ACB
09/11/2022,-0.55,-2.58,21.40,21.70,20.70,20.75,21.29,20.75,3755800,ACB
08/11/2022,+0.65,+3.15,20.60,21.75,20.15,21.30,21.14,21.30,4366100,ACB
07/11/2022,+0.50,+2.48,20.90,21.00,20.20,20.65,20.61,20.65,4996600,ACB
04/11/2022,-1.20,-5.62,21.35,21.40,19.95,20.15,20.35,20.15,12923400,ACB
03/11/2022,-0.45,-2.06,21.50,22.00,21.35,21.35,21.60,21.35,3367300,ACB
02/11/2022,-0.65,-2.90,22.40,22.45,21.80,21.80,22.01,21.80,4015200,ACB
01/11/2022,+0.05,+0.22,22.50,23.00,22.35,22.45,22.70,22.45,3355400,ACB
31/10/2022,+0.10,+0.45,22.35,22.50,21.65,22.40,22.15,22.40,3827300,ACB
28/10/2022,+0.25,+1.13,22.40,22.55,22.05,22.30,22.30,22.30,3811700,ACB
27/10/2022,+1.40,+6.78,20.70,22.05,20.50,22.05,21.55,22.05,4846000,ACB
26/10/2022,+0.25,+1.23,20.60,20.90,20.20,20.65,20.57,20.65,2716100,ACB
25/10/2022,+0.90,+4.62,19.70,20.85,19.15,20.40,20.08,20.40,5576800,ACB
24/10/2022,-0.90,-4.41,20.45,20.50,19.20,19.50,19.99,19.50,8797800,ACB
21/10/2022,-0.95,-4.45,21.35,21.35,20.25,20.40,20.68,20.40,9520500,ACB
20/10/2022,+0.25,+1.18,21.10,21.50,20.70,21.35,21.16,21.35,4643093,ACB
19/10/2022,-0.30,-1.40,21.60,21.60,21.00,21.10,21.26,21.10,1445700,ACB
18/10/2022,+0.45,+2.15,21.30,21.50,21.10,21.40,21.32,21.40,2790775,ACB
17/10/2022,+0.10,+0.48,20.30,21.00,20.25,20.95,20.50,20.95,3756600,ACB
14/10/2022,+0.90,+4.51,20.50,20.90,20.20,20.85,20.73,20.85,3138200,ACB
13/10/2022,+1.25,+6.68,18.70,19.95,18.50,19.95,19.29,19.95,4370800,ACB
12/10/2022,+1.20,+6.86,17.90,18.70,17.80,18.70,18.50,18.70,3629276,ACB
11/10/2022,-1.20,-6.42,18.70,18.70,17.45,17.50,18.03,17.50,7103000,ACB
10/10/2022,+0.05,+0.27,18.20,19.10,18.20,18.70,18.71,18.70,6473000,ACB
07/10/2022,-1.35,-6.75,19.55,19.90,18.60,18.65,18.88,18.65,8685400,ACB
06/10/2022,-0.80,-3.85,20.85,21.20,20.00,20.00,20.49,20.00,3274400,ACB
05/10/2022,-0.20,-0.95,21.10,21.45,20.80,20.80,21.18,20.80,3470800,ACB
04/10/2022,-0.60,-2.78,21.70,21.95,21.00,21.00,21.71,21.00,3941500,ACB
03/10/2022,-0.60,-2.70,22.05,22.30,21.30,21.60,22.02,21.60,4607900,ACB
30/09/2022,+0.20,+0.91,22.00,22.45,21.85,22.20,22.13,22.20,4219300,ACB
29/09/2022,0.00 , 0.00,22.15,22.15,21.90,22.00,22.01,22.00,9323300,ACB
28/09/2022,-0.40,-1.79,22.05,22.25,21.95,22.00,22.04,22.00,2513100,ACB
27/09/2022,+0.20,+0.90,22.20,22.45,22.10,22.40,22.29,22.40,12625700,ACB
26/09/2022,-0.40,-1.77,22.40,22.50,21.80,22.20,22.20,22.20,4788500,ACB
23/09/2022,-0.20,-0.88,22.65,22.95,22.60,22.60,22.73,22.60,7888600,ACB
22/09/2022,+0.20,+0.88,22.50,22.80,22.50,22.80,22.63,22.80,1978800,ACB
21/09/2022,-0.30,-1.31,22.85,22.85,22.60,22.60,22.67,22.60,8058200,ACB
20/09/2022,+0.05,+0.22,22.90,22.95,22.60,22.90,22.77,22.90,2218000,ACB
19/09/2022,-0.30,-1.30,23.15,23.20,22.70,22.85,22.89,22.85,10567600,ACB
16/09/2022,-0.40,-1.70,23.50,23.60,23.10,23.15,23.26,23.15,2120100,ACB
15/09/2022,+0.05,+0.21,23.60,23.60,23.45,23.55,23.51,23.55,2020600,ACB
14/09/2022,-0.30,-1.26,23.50,23.60,23.35,23.50,23.43,23.50,2102100,ACB
13/09/2022,+0.05,+0.21,23.90,24.00,23.60,23.80,23.83,23.80,2185500,ACB
12/09/2022,-0.25,-1.04,24.00,24.20,23.75,23.75,23.91,23.75,1466221,ACB
09/09/2022,0.00 , 0.00,24.20,24.20,23.75,24.00,23.93,24.00,3307900,ACB
08/09/2022,-0.30,-1.23,24.40,24.45,24.00,24.00,24.19,24.00,2080700,ACB
07/09/2022,-0.35,-1.42,24.50,24.60,24.30,24.30,24.45,24.30,3414400,ACB
06/09/2022,+0.15,+0.61,24.50,24.70,24.45,24.65,24.57,24.65,2405200,ACB
05/09/2022,-0.15,-0.61,24.55,24.75,24.45,24.50,24.56,24.50,2396400,ACB
31/08/2022,+0.10,+0.41,24.55,24.75,24.55,24.65,24.62,24.65,1967000,ACB
30/08/2022,0.00 , 0.00,24.60,24.85,24.55,24.55,24.67,24.55,2396400,ACB
29/08/2022,-0.25,-1.01,24.45,24.70,24.30,24.55,24.46,24.55,3599300,ACB
26/08/2022,-0.20,-0.80,25.10,25.30,24.75,24.80,25.04,24.80,3878700,ACB
25/08/2022,+0.15,+0.60,24.85,25.00,24.75,25.00,24.87,25.00,3631800,ACB
24/08/2022,+0.05,+0.20,24.70,24.90,24.65,24.85,24.75,24.85,2753500,ACB
23/08/2022,+0.15,+0.61,24.35,24.80,24.20,24.80,24.42,24.80,2385000,ACB
22/08/2022,-0.20,-0.80,24.80,24.80,24.60,24.65,24.68,24.65,2239300,ACB
19/08/2022,-0.30,-1.19,25.15,25.15,24.80,24.85,24.92,24.85,1909000,ACB
18/08/2022,+0.20,+0.80,24.95,25.25,24.80,25.15,25.07,25.15,5981500,ACB
17/08/2022,+0.10,+0.40,24.95,25.00,24.85,24.95,24.94,24.95,3350600,ACB
16/08/2022,-0.10,-0.40,24.90,24.95,24.65,24.85,24.78,24.85,3234500,ACB
15/08/2022,+0.15,+0.60,24.90,25.15,24.80,24.95,24.93,24.95,3154600,ACB
12/08/2022,+0.05,+0.20,24.70,24.85,24.60,24.80,24.72,24.80,1482500,ACB
11/08/2022,-0.10,-0.40,25.00,25.10,24.70,24.75,24.93,24.75,3442200,ACB
10/08/2022,-0.10,-0.40,24.95,25.05,24.75,24.85,24.89,24.85,1987700,ACB
09/08/2022,+0.20,+0.81,24.90,25.00,24.70,24.95,24.85,24.95,3945100,ACB
08/08/2022,-0.10,-0.40,24.80,25.00,24.65,24.75,24.78,24.75,3202100,ACB
05/08/2022,-0.15,-0.60,25.00,25.00,24.50,24.85,24.73,24.85,3762800,ACB
04/08/2022,+0.05,+0.20,25.00,25.25,24.90,25.00,25.03,25.00,4390100,ACB
03/08/2022,+0.05,+0.20,25.00,25.05,24.70,24.95,24.87,24.95,7920900,ACB
