,id,title,label
0,train_0,trùm logistics name lên kế_hoạch tăng gấp đôi lợi_nhuận lên number tỷ đồng,2
1,train_1,đhđcđ name name ngợi name thị_phần số number nhưng không thoả_mãn với vị_trí số number,1
2,train_2,cổ_phiếu nhóm name giảm mạnh dù thị_trường lên đỉnh,1
3,train_3,cổ_phiếu lên đỉnh con gái chủ_tịch name name đăng_ký bán toàn_bộ cổ_phiếu,1
4,train_4,name cổ_phiếu bứt_phá percent lãi_ròng date đầu năm tăng percent lên mức number tỷ đồng,2
5,train_5,name lợi_nhuận date của các cổ_phiếu hàng_hiệu,1
6,train_6,name mua lại percent cổ_phần name từ name name xác_định loc thị_trường trọng_điểm để đầu_tư dự_án năng_lượng tái_tạo,2
7,train_7,name name name dự_kiến phát_hành gần number triệu cổ_phiếu trả cổ_tức date,2
8,train_8,sự vực dậy sau hàng thập_kỷ của những thương_hiệu vang bóng một thời,2
9,train_9,number sai_lầm kể_cả nhà_đầu_tư chứng_khoán lâu năm cũng mắc phải,1
10,train_10,chủ_tịch khẳng_định name bỏ name sau_này ôm hận vì đâu name vẫn mạnh_tay chốt lãi ?,1
11,train_11,tiếp_tục kéo_dài thời_hạn giảm_giá dịch_vụ chứng_khoán đến hết date,2
12,train_12,name theo khuyến_nghị mua cổ_phiếu tốt vì sao vẫn thua_lỗ nặng giữa uptrend ?,1
13,train_13,phiên date khối ngoại_tiếp tục bán ròng hơn number tỷ đồng tập_trung bán name,0
14,train_14,name trần name tăng mạnh cuối phiên name lên ngưỡng number điểm,2
15,train_15,name chuẩn_bị chi number tỷ đồng trả cổ_tức cho cổ_đông,2
16,train_16,name name bất_ngờ trình phương_án chào_bán riêng_lẻ number triệu cổ_phiếu với giá number đồng / cp bằng nửa giá thị_trường,0
17,train_17,thanh khoản thị_trường tăng mạnh name báo lãi kỷ_lục number tỷ đồng trong date,2
18,train_18,name name chốt danh_sách cổ_đông trả cổ_tức bằng tiền tỷ_lệ percent,2
19,train_19,dược_phẩm name name lợi_nhuận quý date đạt number tỷ đồng chuẩn_bị chia cổ_tức bằng tiền tỷ_lệ percent,2
20,train_20,name name liên_tiếp huy_động number tỷ đồng trái_phiếu một phần sẽ dùng đảo_nợ gốc lãi tại ngân_hàng,0
21,train_21,name name name name name name name name name thông_tin giao_dịch lượng lớn cổ_phiếu,1
22,train_22,name name doanh_thu tháng date đạt number tỷ đồng các thị_trường xuất_khẩu đồng_loạt tăng tốt,2
23,train_23,lịch_sự kiện và tin_vắn chứng_khoán ngày date,1
24,train_24,chứng_khoán name name name chuẩn_bị phát_hành cổ_phiếu thưởng tỷ_lệ number,2
25,train_25,đầu_tư name name công đăng_ký bán toàn_bộ number triệu cổ_phiếu name name name,0
26,train_26,cổ_phiếu của công_ty cung_cấp sơn cho name name name tăng gần gấp đôi từ đầu năm,2
27,train_27,name name sẽ thêm mới name name name và name trong kỳ review date ?,1
