0,1
16/03/2023 15:02,VIB: Thay đổi nhân sự HĐQT và BKS nhiệm kỳ 2023-2027
16/03/2023 13:24,VIB: Biên bản và nghị quyết của ĐHĐCĐ thường niên năm 2023
15/03/2023 10:33,"VIB sẽ trả cổ tức 15% bằng tiền và 20% bằng cổ phiếu trong năm nay, năm sau dự kiến trả trên 30%"
15/03/2023 10:07,Những con số ấn tượng được công bố tại ĐHCĐ 2023 của VIB
15/03/2023 08:52,"Sáng 15/3 VIB tổ chức ĐHCĐ 2023: Dự kiến chia cổ tức tỷ lệ 35%, bầu HĐQT và BKS nhiệm kỳ mới"
13/03/2023 08:00,"VIB: Hiệu quả kinh doanh top đầu, ĐHĐCĐ dự kiến duyệt kế hoạch cổ tức và tăng vốn"
07/03/2023 11:23,Ông nội sang tay cho các cháu số cổ phiếu ngân hàng trị giá cả nghìn tỷ đồng?
06/03/2023 15:56,VIB: Con ông Đỗ Xuân Hoàng - TV.HĐQT đã mua 27.000.000 cp
03/03/2023 16:21,VIB: Bố ông Đỗ Xuân Hoàng - TV.HĐQT đã bán 27.000.000 cp
01/03/2023 09:28,"Hàng chục nghìn tỷ cổ tức tiền mặt chuẩn bị 'đổ bộ' vào tài khoản cổ đông Đức Giang, Kido, Vinamilk, Nova Consumer... và các ngân hàng"
24/02/2023 14:49,VIB: Nghị quyết HĐQT v/v thông qua hợp đồng giữa VIB và VIB AMC
24/02/2023 10:35,"VIB dự kiến chia cổ tức tiền mặt tỷ lệ 15%, thưởng cổ phiếu 20% cho cổ đông trong năm nay"
22/02/2023 09:43,VIB: CBTT về họp ĐHĐCĐ thường niên năm 2023
15/02/2023 09:53,VIB: Giải trình biến động LNST tại BCTC kiểm toán năm 2022
09/02/2023 17:21,VIB: Con ông Đặng Văn Sơn - Phó CT.HĐQT đã mua 3.500.000 cp
08/02/2023 13:47,"VIB: 9.2.2023, ngày GDKHQ chi trả tạm ứng cổ tức năm 2022 (1.000 đ/cp)"
03/02/2023 21:31,"Con gái Phó Chủ tịch VIB đăng ký mua 3,5 triệu cổ phiếu"
02/02/2023 16:06,VIB: Con ông Đặng Văn Sơn - Phó CT.HĐQT đăng ký mua 3.500.000 cp
01/02/2023 09:53,VIB chi hơn 2.100 tỷ tạm ứng cổ tức tiền mặt vào ngày 3/3
31/01/2023 16:25,VIB: Nghị quyết HĐQT v/v phê duyệt thực hiện phương án tạm ứng cổ tức bằng tiền mặt năm 2022
31/01/2023 14:57,REE bất ngờ gom 38 triệu cổ phiếu VIB?
30/01/2023 21:25,"Toàn cảnh KQKD ngân hàng năm 2022: Cập nhật MB, SHB, VPBank, ACB, HDBank, Techcombank, Sacombank,..."
30/01/2023 08:18,"Đầu năm mới, ông nội muốn sang tay cho cháu số cổ phiếu 1 ngân hàng trị giá hơn 650 tỷ đồng?"
27/01/2023 17:18,VIB: Giao dịch cổ phiếu của NLQ đến ông Đỗ Xuân Hoàng - TV.HĐQT
19/01/2023 16:56,VIB: Báo cáo tình hình quản trị công ty năm 2022
19/01/2023 16:37,VIB: Giải trình biến động LNST quý 4/2022 so với cùng kỳ năm trước
18/01/2023 10:30,"VIB: Lợi nhuận năm 2022 tăng 32%, ROE liên tục đạt trên 30%"
12/01/2023 13:28,"VIB: 9.2.2023, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2023"
09/01/2023 15:30,Cú hích của VIB vào thị trường mua sắm online
04/01/2023 10:42,VIB: CBTT thành lập 5 chi nhánh
03/01/2023 17:48,VIB: Ngày ĐKCC để thực hiện quyền tham dự họp ĐHĐCĐ thường niên năm 2023
03/01/2023 08:00,VIB ra mắt thẻ đồng thương hiệu LazCard hoàn đến 50% trên Lazada
30/12/2022 09:38,VIB: CBTT ký hợp đồng kiểm toán
29/12/2022 10:29,VIB: Thay đổi địa điểm Chi nhánh Quận 11
28/12/2022 08:00,VIB đứng đầu Top các ngân hàng hiệu quả nhất năm 2022
27/12/2022 08:09,"Ngân hàng số MyVIB cán mốc 2,5 triệu người dùng trong năm 2022"
23/12/2022 17:02,VIB: Ông Trần Nhất Minh - Phó TGĐ đã mua 100.000 cp
23/12/2022 15:48,VIB: Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ v/v lấy ý kiến cổ đông bằng văn bản - Điều lệ
20/12/2022 12:26,Phó Tổng Giám đốc VIB đã mua 330.000 cổ phiếu
19/12/2022 17:27,VIB: Ông Hồ Vân Long - Phó TGĐ đã mua 330.000 cp
16/12/2022 08:52,VIB dành nhiều ưu đãi cho khách hàng dịp cuối năm
15/12/2022 07:53,VIB và ACB vượt trội top ngân hàng Châu Á & Úc về hiệu quả và tăng trưởng
07/12/2022 07:40,Thêm ngân hàng giảm lãi suất cho khách hàng vay kinh doanh
06/12/2022 13:36,VIB: Phiếu lấy ý kiến cổ đông bằng văn bản
06/12/2022 13:36,"VIB: Đề cử, ứng cử HĐQT, BKS"
05/12/2022 13:48,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 144.200 cp
30/11/2022 17:45,VIB: Nộp đủ số tiền thuế theo quyết định của cơ quan thuế
30/11/2022 15:44,"VIB bổ sung thuế 9,7 tỷ đồng cho 3 năm 2019, 2020 và 2021"
28/11/2022 10:14,"Tới quý 3/2022, VIB tăng trưởng 1 triệu khách hàng chất lượng mới"
25/11/2022 08:00,VIB: chiến lược số hóa xoay quanh '3-first'
24/11/2022 11:21,"Chỉ trong 3 tháng, VIB ghi nhận thêm 210.000 khách hàng Sapphire"
23/11/2022 13:26,"VIB: 28.11.2022, ngày GDKHQ thực hiện quyền đề cử, ứng cử nhân sự"
23/11/2022 13:24,VIB: Hủy ngày ĐKCC để thực hiện quyền tại thông báo số 2047/TB-SGDHCM ngày 15/11/2022
22/11/2022 14:45,Ba bước nộp thuế dễ dàng qua tài khoản VIB
22/11/2022 10:12,Gửi tiết kiệm trên MyVIB 2.0 được hoàn tiền và nhận ngay thẻ tín dụng
21/11/2022 14:51,VIB: Nghị quyết HĐQT v/v tăng vốn điều lệ và sửa đổi điều lệ công ty con
18/11/2022 16:36,"VIB: Nghị quyết, Biên bản kiểm phiếu ĐHĐCĐ lấy ý kiến cổ đông bằng văn bản và điều lệ công ty"
18/11/2022 09:07,"VIB: Hủy ngày ĐKCC chốt DSCĐ để thực hiện quyền bầu nhân sự Thành viên HĐQT, BKS"
17/11/2022 08:00,VIB có thể sẽ nới room ngoại đến 30%
16/11/2022 13:46,VIB: Ông Trần Nhất Minh - Phó TGĐ đăng ký mua 2.000.000 cp
16/11/2022 13:30,VIB có thể sẽ nới room ngoại đến 30%
16/11/2022 11:28,VIB: Nghị quyết HĐQT quyết định ngày ĐKCC chốt danh sách cổ đông lấy ý kiến
16/11/2022 11:23,"VIB: 21.11.2022, ngày GDKHQ chốt danh sách cổ đông thực hiện quyền bầu cử"
16/11/2022 11:13,"VIB: CBTT thay đổi ngày ĐKCC chốt đề cử ứng cử HĐQT, thành viên BKS"
14/11/2022 17:52,VIB: Ông Hồ Vân Long - Phó TGĐ đăng ký mua 1.500.000 cp
14/11/2022 09:00,Lãnh đạo VIB: Lên kế hoạch trình phương án chia cổ tức tiền mặt có thể lên tới 35%
09/11/2022 17:04,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 60.000 cp
09/11/2022 17:03,VIB: Công văn của NHNN v/v chấp thuận cho VIB thay đổi tên và địa điểm Chi nhánh Đồng Tháp
09/11/2022 13:51,"VIB: Trích Nghị quyết HĐQT về ngày ĐKCC chốt DSCĐ để thực hiện quyền ứng cử, đề cử nhân sự"
07/11/2022 13:30,VIB nhận giải ngân khoản vay 150 triệu USD từ IFC
04/11/2022 08:28,VIB và Lazada tặng loạt ưu đãi tiền triệu cho người dùng
03/11/2022 17:28,VIB: Con ông Đỗ Xuân Hoàng - TV.HĐQT đã mua 4.000.000 cp
03/11/2022 17:26,VIB: Bố ông Đỗ Xuân Hoàng - TV.HĐQT đã bán 4.000.000 cp
31/10/2022 10:11,VIB: Giải trình chênh lệch lợi nhuận sau thuế quý 3/2022 so với quý 3/2021
28/10/2022 10:03,VIB: Link công bố tài liệu lấy ý kiến cổ đông bằng văn bản
27/10/2022 13:45,Tại sao GenZ chọn ngân hàng số MyVIB 2.0?
11/10/2022 08:00,VIB công bố KQKD 9 tháng năm 2022: Hiệu quả và an toàn vượt trội
07/10/2022 15:48,"VIB: 19.10.2022, ngày GDKHQ lấy ý kiến cổ đông bằng văn bản"
06/10/2022 07:54,Chi tiêu qua thẻ ghi nợ nhiều ưu đãi và tiện ích
04/10/2022 13:30,VIB đến gần hơn với người trẻ qua The Masked Singer
30/09/2022 07:35,Quản lý và bảo mật thẻ an toàn với MyVIB 2.0 - ngân hàng hơn cả số
29/09/2022 17:39,VIB: NLQ đến ông Đỗ Xuân Hoàng - TV.HĐQT thông báo giao dịch cp
28/09/2022 16:45,VIB: Công bố thông tin ngày ĐKCC
27/09/2022 10:55,Giải mã chuyên gia tài chính ảo Vie qua cuộc trò chuyện đầu tiên với GenZ
22/09/2022 09:49,MyVIB  2.0 nâng tầm trải nghiệm với nhiều tiện ích miễn phí và ưu đãi hấp dẫn
21/09/2022 17:55,VIB: Quyết định của NHNN v/v thay đổi nội dung về Giấy phép thành lập và hoạt động
21/09/2022 11:39,Bí quyết mua sắm rảnh tay của người nội trợ 4.0
17/09/2022 11:02,"Sở hữu ngay iPhone 14 trả góp 0% lãi suất, nhận ưu đãi tiền triệu"
14/09/2022 20:50,Trò chuyện thật với chuyên gia tài chính ảo Vie lần đầu tiên trong The Money Date
10/09/2022 09:10,"Trải nghiệm đặc biệt thú vị cho khách bay, nhất là khi hoãn chuyến"
07/09/2022 17:31,VIB: Công văn của NHNN chi nhánh Tỉnh Quảng Ngãi chấp thuận thay đổi địa điểm Chi nhánh Quảng Ngãi
05/09/2022 07:32,Những công nghệ nổi trội của Ngân hàng số MyVIB 2.0
30/08/2022 08:24,Hoàn 500.000đ cho khách hàng mới khi trải nghiệm bộ sản phẩm dịch vụ tại VIB
23/08/2022 08:22,Mua bảo hiểm sức khỏe cá nhân: Chỉ với một chạm
22/08/2022 08:00,Forbes: Điểm danh 7 ngân hàng niêm yết hàng đầu Việt Nam 2022
18/08/2022 14:17,Bí quyết tay hòm chìa khóa trước mọi biến động giá tiêu dùng
17/08/2022 13:22,Cẩm nang ‘hướng dẫn sử dụng mùa hè’ trước khi hết hạn
11/08/2022 09:23,VIB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 37
09/08/2022 16:59,VIB: Công văn của NHNN về việc chấp thuận thay địa điểm hoạt động Chi nhánh VIB Nhà Bè
08/08/2022 16:57,VIB: Công văn của NHNN chi nhánh TP.HCM chấp thuận thay đổi địa chỉ Chi nhánh và Phòng giao dịch
04/08/2022 17:47,VIB: Giải trình biến động LNST BCTC soát xét bán niên năm 2022 so với cùng kỳ năm trước
29/07/2022 14:05,VIB: Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2022
26/07/2022 10:00,Lần đầu tiên VIB ra mắt chuyên gia tài chính ảo Vie
25/07/2022 17:19,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 355.000 cp
25/07/2022 11:00,Các từ khóa cho ngân hàng số hiện đại
20/07/2022 17:33,VIB: Giải trình biến động LNST quý 2/2022 so với cùng kỳ năm trước
20/07/2022 08:00,"VIB: Lợi nhuận 6 tháng đạt hơn 5.000 tỷ, tăng 27% so với cùng kỳ"
18/07/2022 08:00,Xin cảm ơn! Nửa triệu thẻ tín dụng VIB đã có mặt tại Việt Nam!
15/07/2022 08:00,VIB phá kỷ lục của các đối tác Mastercard tại Châu Á Thái Bình Dương
08/07/2022 17:47,VIB: Quyết định của NHNNVN v/v sửa đổi nội dung vốn điều lệ tại Giấy phép thành lập và hoạt động
06/07/2022 17:26,VIB: Giao dịch 554.529.952 cp niêm yết bổ sung
06/07/2022 17:20,"VIB: 8.7.2022, niêm yết bổ sung 554.529.952 cp"
06/07/2022 16:55,VIB: TCông văn của NHNN về việc chấp thuận thay địa điểm hoạt động Chi nhánh Nhà Bè của VIB
24/06/2022 17:32,VIB: Công văn của NHNN chi nhánh TP.HCM chấp thuận thay đổi địa điểm chi nhánh Hóc Môn
23/06/2022 08:00,Ngân hàng đầu tiên tại Việt Nam triển khai nền tảng CDP của SAP
22/06/2022 17:14,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 355.000 cp
21/06/2022 10:00,Khám phá tính năng của ứng dụng ngân hàng số vừa nhận 2 kỷ lục Việt Nam
20/06/2022 17:05,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đăng ký bán 355.001 cp
20/06/2022 16:15,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 1.633.800 cp
17/06/2022 09:15,Miễn phí trọn bộ trên MyVIB 2.0 - ứng dụng ngân hàng hơn cả số
16/06/2022 17:25,VIB: Quyết định của NHNN CN tỉnh Tiền Giang  v/v chấp thuận thay đổi địa điểm hoạt động VIB Tiền Giang
10/06/2022 08:00,4 điều thú vị cha mẹ có thể tặng con hè này
08/06/2022 16:58,VIB: Quyết định thành lập chi nhánh VIB Nhà Bè
07/06/2022 17:30,"Chuyển nhượng tiền gửi chỉ trong vài phút, bạn đã thử?"
06/06/2022 13:30,Tặng ưu đãi trị giá đến 800.000 đồng cho người dùng MyVIB 2.0
02/06/2022 09:04,VIB: Làm rõ thông tin tại báo cáo kết quả phát hành
01/06/2022 15:58,VIB: Ông Ân Thanh Sơn - Phó TGĐ đã nhận thưởng 222.222 cp
01/06/2022 15:57,VIB: Ông Hàn Ngọc Vũ - TGĐ đã nhận thưởng 28.857 cp
01/06/2022 15:57,VIB: Ông Hồ Vân Long - Phó TGĐ đã nhận thưởng 193.365 cp
01/06/2022 15:56,VIB: Bà Phạm Thị Minh Huệ - Kế toán trưởng đã nhận 202.218 cp thưởng
01/06/2022 15:54,VIB: Ông Trần Nhất Minh - Phó TGĐ đã nhận 217.365 cp thưởng
01/06/2022 15:53,VIB: Đại diện cho cán bộ nhân viên VIB đề nghị lưu ký cổ phiếu tại VSD
01/06/2022 15:46,VIB: Quyết định của HĐQT v/v xử lý cổ phần lẻ phát sinh trong đợt chia cổ phiếu thưởng cho CĐHH
31/05/2022 13:39,VIB: Đã phát hành 10.930.000 cp ESOP
31/05/2022 13:38,VIB: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 2.107.672.945 cp
31/05/2022 13:37,VIB: Đã phát hành 543.599.952 cp để tăng vốn cổ phần từ nguồn vốn chủ sở hữu
30/05/2022 08:00,MyVIB 2.0 - Ngân hàng số đầu tiên tích hợp AR và Cloud – native
27/05/2022 13:30,"​Hành trình đổi mới, sáng tạo của Ngân hàng số MyVIB"
24/05/2022 16:04,VIB: Thông báo giao dịch cổ phiếu ESOP của Người nội bộ
23/05/2022 08:00,MyVIB được vinh danh là ứng dụng Ngân hàng di động tốt nhất Việt Nam
16/05/2022 17:39,VIB: Công văn của UBCKNN về tỷ lệ sở hữu tối đa của nhà đầu tư nước ngoài tối đa tại VIB
16/05/2022 15:38,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đăng ký bán 1.900.000 cp
10/05/2022 17:40,VIB: Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động trong công ty
10/05/2022 17:25,VIB: Công văn của NHNN về việc chấp thuận thay địa điểm đặt trụ sở Chi nhánh VIB Hải Phòng
09/05/2022 17:45,"VIB: 13.5.2022, ngày GDKHQ nhận cổ phiếu thưởng (tỷ lệ 100:35)"
09/05/2022 13:28,VIB: Khai trương chi nhánh VIB Bình Chánh
09/05/2022 13:20,"Moody's: Lợi nhuận ngân hàng Việt Nam tăng trưởng bất chấp đại dịch, sẽ cải thiện hơn nữa trong năm 2022"
07/05/2022 07:49,Giao dịch ngân hàng tiện lợi với VIB
05/05/2022 14:09,5 lý do người trẻ nên có ít nhất 1 chiếc thẻ tín dụng trong ví
04/05/2022 16:30,VIB: Vợ ông Đặng Văn Sơn - Phó CT.HĐQT đã bán 2.315.600 cp
01/05/2022 09:41,VIB chuẩn bị chia cổ phiếu thưởng tỷ lệ 35%
29/04/2022 10:38,VIB: Giải trình biến động LNST quý 1/2022 so với cùng kỳ năm trước
29/04/2022 06:08,Lựa chọn chứng chỉ tiền gửi để tối ưu lợi ích và dòng vốn kinh doanh
28/04/2022 15:40,"Gia đình 5 người chi tiêu 44 triệu/tháng, sẽ tiết kiệm hơn nhiều với thẻ tín dụng"
27/04/2022 17:52,VIB: Phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu
27/04/2022 17:36,VIB: Quyết định của HĐQT về ngày ĐKCC chốt danh sách cổ đông để hưởng quyền nhận cổ phiếu thưởng
27/04/2022 10:29,Vợ Phó tổng giám đốc VIB vừa mua 800 nghìn cổ phiếu
27/04/2022 08:00,"VIB lãi gần 2.300 tỷ trong quý 1, hiệu quả top đầu ngành"
26/04/2022 15:17,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã mua 800.000 cp
26/04/2022 15:09,Tip săn vé - đặt phòng cho chuyến du lịch nước ngoài của bạn
22/04/2022 09:22,4 khác biệt lớn của thẻ tín dụng xưa và nay
20/04/2022 11:50,Nguyên tắc 50/30/20 và việc tiết kiệm bao nhiêu là hợp lý?
19/04/2022 15:09,VIB: Công văn của NHNN v/v chấp thuận cho VIB tăng vốn điều lệ
19/04/2022 14:58,VIB: Khai trương hoạt động chi nhánh Hưng Phú
15/04/2022 10:42,"Nhiều cổ phiếu ngân hàng được giới phân tích đưa ra giá mục tiêu cao, upside tăng giá hàng chục %"
14/04/2022 16:10,VIB: Công văn của NHNN về việc chấp thuận thay địa điểm hoạt động Chi nhánh Bình Chánh
13/04/2022 15:21,VIB: Công văn của NHNN về việc chấp thuận thay địa điểm hoạt động Chi nhánh Hưng Phú
09/04/2022 10:20,"Ngày chia thưởng đến gần, Phó Tổng VIB hoàn thành mua lượng lớn cổ phiếu"
08/04/2022 17:51,VIB: Ông Trần Nhất Minh - Phó TGĐ đã mua 800.000 cp
08/04/2022 14:36,Bạn đồng hành đắc lực để cha mẹ giúp con vững bước tới tương lai
07/04/2022 11:20,"Cổ phiếu ngân hàng đỡ thị trường, vốn hóa VPBank vượt Techcombank"
06/04/2022 09:20,Gửi tiết kiệm online: Tạo thói quen giao dịch tài chính thông minh
31/03/2022 06:14,"VIB vừa bật tăng mạnh, vợ Phó chủ tịch đăng ký bán 3 triệu cổ phiếu"
30/03/2022 15:43,VIB: Vợ ông Đặng Văn Sơn - Phó CT.HĐQT đăng ký bán 3.000.000 cp
30/03/2022 10:10,Sống phong cách với loạt đặc quyền đẳng cấp từ thẻ tín dụng VIB
29/03/2022 14:19,Yếu tố nào giúp VIB đảo chiều tăng mạnh phiên 29/3?
29/03/2022 10:55,2 ngân hàng muốn gia nhập 'câu lạc bộ' lợi nhuận chục nghìn tỷ
23/03/2022 09:12,"Trước thềm VIB chia thưởng, vợ Phó Tổng đăng ký mua một lượng lớn cổ phiếu"
23/03/2022 08:56,Gửi tiết kiệm vẫn là kênh đầu tư hiệu quả và an toàn
22/03/2022 15:06,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đăng ký mua 800.000 cp
21/03/2022 08:00,VIB huy động thành công 260 triệu USD khoản vay hợp vốn quốc tế
19/03/2022 07:19,"Ngân hàng đầu tiên triển khai kế hoạch chia thưởng năm 2022, tỷ lệ tới 35%"
18/03/2022 14:50,VIB: Nghị quyết HĐQT v/v tăng vốn điều lệ
18/03/2022 07:35,Vì sao VIB đặt mục tiêu tăng trưởng tín dụng cao cho 2022?
17/03/2022 12:47,VIB: Nghị quyết và Biên bản ĐHĐCĐ thường niên 2022
16/03/2022 10:30,"VIB đang lãi trên 1.000 tỷ mỗi tháng, kỳ vọng lợi nhuận tỷ USD trong 5 năm tới"
16/03/2022 10:20,"ĐHCĐ VIB: Dự kiến lãi hơn 10.000 tỷ, chốt chia cổ phiếu thưởng tỷ lệ 35%, tự tin mục tiêu ngân hàng bán lẻ hàng đầu"
15/03/2022 13:30,Người dùng Việt đã có thể mở thẻ thực trong thế giới ảo
15/03/2022 07:35,"Credit Suisse gọi tên 6 mã ngân hàng nổi bật, VIB được định giá ở mức 7x nhờ chiến lược cho vay bán lẻ hiệu quả"
11/03/2022 13:08,Những điều chưa được bật mí từ dòng thẻ VIB Online Plus 2in1
11/03/2022 09:06,"Cách nhận ưu đãi quanh năm đến 30% chi tiêu ẩm thực, mua sắm, du lịch"
03/03/2022 16:49,"Nhiều cổ phiếu ngân hàng ''quay xe'' tăng vọt phiên chiều 3/3, khối ngoại nhanh tay vào bắt đáy"
03/03/2022 10:51,"Giữa lúc cổ phiếu ngân hàng đỏ lửa, Sếp VIB đăng ký mua vào 800.000 cổ phiếu"
02/03/2022 16:03,VIB: Ông Trần Nhất Minh - Phó TGĐ đăng ký mua 800.000 cp
02/03/2022 14:03,Du lịch mùa dịch thêm an toàn nhờ VIB
02/03/2022 10:41,VIB: Ông Lê Quang Trung thôi làm Phó TGĐ từ 1.3.2022
25/02/2022 08:00,Xu hướng lấy khách hàng làm trung tâm của thanh toán không tiền mặt
25/02/2022 07:56,"Lợi ích khi đóng học phí, chi tiêu cho con qua thẻ VIB Family Link"
24/02/2022 14:21,VIB: Nghị quyết HĐQT phê duyệt kế hoạch phát hành Giấy tờ có giá
24/02/2022 08:00,"Mở tài khoản số đẹp VIB Digi đúng ý, nhận ngay 500k quà tặng cực chất"
23/02/2022 09:05,"VIB: Thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ thường niên 2022"
23/02/2022 08:00,"Tăng trưởng bền vững, hiệu quả top đầu ngành, VIB dự kiến chia cổ tức 35%"
21/02/2022 13:30,3 cách giúp tay hòm chìa khóa 'tiền đẻ ra tiền'
21/02/2022 08:00,VIB nhận giải thưởng Tăng trưởng nhanh nhất về tài trợ thương mại từ IFC
17/02/2022 22:28,Nhờ đâu cổ phiếu ngân hàng đồng loạt 'khởi nghĩa'?
17/02/2022 10:50,Chủ ôtô nhân đôi lợi ích với thẻ VIB Happy Drive trước tăng biến động giá xăng
16/02/2022 09:03,VIB: Giải trình chênh lệch lợi nhuận sau thuế năm 2021 kiểm toán so với năm 2020
12/02/2022 10:02,Tip chi tiêu mùa Valentine từ ‘tín đồ’ thẻ tín dụng
11/02/2022 17:00,VIB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 36
11/02/2022 08:00,"Bán lẻ thuộc top đầu ngành, VIB tiếp tục bứt phá với số hóa"
10/02/2022 08:00,Mẹo gửi tiết kiệm hiệu quả
09/02/2022 17:07,VIB: Ông Lê Quang Trung - Phó TGĐ đã bán 400.000 cp
08/02/2022 15:02,Vì sao khối ngoại tích cực ''gom'' cổ phiếu ngân hàng trong những ngày đầu năm?
08/02/2022 13:30,Tạp chí NCĐT: VIB dẫn đầu ngành ngân hàng trong TOP50
08/02/2022 11:06,"Phó Tổng Giám đốc VIB bán xong gần 1,4 triệu cổ phiếu"
07/02/2022 14:28,VIB: Ông Ân Thanh Sơn - Phó TGĐ đã bán 1.368.900 cp
30/01/2022 08:33,"Hệ sinh thái thẻ tín dụng VIB, giải pháp thông minh cho chi tiêu mùa Tết"
28/01/2022 17:50,VIB: Báo cáo tình hình quản trị công ty năm 2021
26/01/2022 19:35,"Nhân sự đạt gần vạn người, lợi nhuận tăng liên tục qua các năm, 'nhà VIB' đang có thu nhập thế nào?"
